text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
perempuan tu apesal aku rasa mcm pernah nampak?? student unisel ke cane eh	68381	Neutral	27	4603	2022-02-15T14:04:28.798425Z	2022-02-15T14:04:32.792755Z	21974.04
Polis tangkap dia.	68345	Negative	27	4567	2022-02-15T12:37:58.202450Z	2022-02-15T12:38:00.815718Z	16782.079
Kenapa lokasi kebakaran nya terlalu spesifik? https://t.co/3nXW4KQm8R	68325	Negative	27	4547	2022-02-15T11:47:23.902859Z	2022-02-15T11:47:27.849352Z	13749.111
@YuleumSummer Waa senang nye lah nk bersalin..ape tips alia eh..share lahh	68286	Positive	27	4508	2022-02-15T08:59:24.606503Z	2022-02-15T08:59:27.475987Z	3668.697
DAULAT TUANKU! Merafak sembah dan takzim KDYMM Seri Paduka Baginda Yang Dipertuan Agong Al-Sultan Abdullah Ri'ayat https://t.co/CxvPqpVi47	68247	Positive	27	4469	2022-02-15T08:34:10.363218Z	2022-02-15T08:34:13.342956Z	2154.577
Menyesal tnye nak apa for birthday	68196	Negative	27	4418	2022-02-15T08:17:56.249673Z	2022-02-15T08:17:59.718368Z	1180.93
Apa yang meriah sangat tah	68085	Negative	27	4079	2022-02-14T07:58:29.684093Z	2022-02-14T07:58:33.337276Z	253986.056
Orang utara untung kalau duduk kedah sebab sini harga dia half price dari tu untuk root canal. Untung kat jimat dui https://t.co/rXeXYWgIJL	68083	Positive	27	4077	2022-02-14T07:58:20.076386Z	2022-02-14T07:58:23.937606Z	253976.67
@GgGhazali2 sabaq sabaq	67856	Neutral	27	3745	2022-02-11T09:19:24.605773Z	2022-02-11T09:19:29.080561Z	69189.871
@iyeneee @yogamuda @newsplatter asal bs kelar kerja jam 5 sik. kl br diajak meeting jam 5 kelar jam 7 mah bye atau https://t.co/fg1tpTXKaW	67779	Negative	27	3668	2022-02-11T07:19:55.222344Z	2022-02-11T07:20:02.881191Z	62023.705
@alyfalif @haniffrani_ @fashionistabish @asyrafazmy Hmmm minta dorang pasang pencawang phone sekali. Asyik emergency call je	67662	Negative	27	3150	2022-02-10T03:18:13.599000Z	2022-02-10T03:18:18.427546Z	123382.893
IOW PKP 3.0/PROKLAMASI DARURAT/VAKSIN COVID-19/ TASK FORCE PEJABAT PENERANGAN DAERAH SETIU Parlimen : P.034 Setiu DUN : N.06 Permaisuri Tarikh : 09 Jun 2021 (Rabu) Masa : 9.00 pg 12.00 tengahari #MalaysiaPrihatin #japentrg #kitaAkanmenang #Covid19 https://t.co/aIikbeL9oe	67600	Neutral	27	3088	2022-02-10T03:11:04.415329Z	2022-02-10T03:11:09.816817Z	122954.268
Keceriaan di kem latihan setempat @FCTerengganu dan Terengganu FC II https://t.co/umGIAP0VHv	67566	Positive	27	3054	2022-02-10T03:07:38.408199Z	2022-02-10T03:07:42.925986Z	122747.365
@kayniskay As orang Muar yg dah involved dua2 party, saddiq is the most reliable one. Masa dia jadi menteri dulu pun, apa je kitorang mintak, semua dia bagi kalau dia boleh bagi. Dah jadi pembangkang pun, still kerja jalan jugak. Maybe masa jadi menteri, org kata dia x buat kerja, tapi...	67432	Positive	27	2920	2022-02-09T17:13:40.221407Z	2022-02-09T17:13:48.864432Z	87113.329
Tinggal 1 barang je tak sampai lagi. Dah boleh uninstall shopee	67392	Negative	27	2880	2022-02-09T17:11:21.938141Z	2022-02-09T17:11:25.809347Z	86970.25
#KerajaanGagal 70 juta ke	67382	Negative	27	2870	2022-02-09T17:10:37.643685Z	2022-02-09T17:10:41.906050Z	86926.358
Avoid 1 Jalan Tuaran near Jalan Sekoli #kltu. You'll be stuck 22m longer than usual https://t.co/2id70cmjlt https://t.co/A8sUJmIK5d	67327	Neutral	27	2815	2022-02-09T17:07:12.890964Z	2022-02-09T17:07:35.707752Z	86740.162
Boleh ke team ni pi selatan pulak, ambil gambar drone. Pemandangannya pun 'agak indah'. Pi nun belah2 Tg Piai. Ke T https://t.co/wwGNk22eSs	67303	Positive	27	2791	2022-02-09T17:05:59.336553Z	2022-02-09T17:06:06.197083Z	86650.643
Assalamualaikum YB @SyedSaddiq . Are you coming down to Parit Yusof? Sebab my grandparents kat sana rasanya tak daftar vaksin lagi They don't have smartphones. Please help	67260	Negative	27	2748	2022-02-09T17:02:40.989020Z	2022-02-09T17:02:47.036815Z	86451.456
Terengganu tumbang?	67193	Negative	27	2681	2022-02-09T03:37:04.852021Z	2022-02-09T03:37:09.705305Z	38114.151
CAPEK	67156	Negative	27	2644	2022-02-08T18:39:12.528377Z	2022-02-08T18:40:53.084168Z	5936.959
Terbaik bang tmbh lagi respect aq dkat ko. Aq dh lah minat ko berlakon, dan2 ko bersuara plak psal isu ni artis https://t.co/zXpBx0DfeM	66687	Positive	17	2583	2022-02-07T07:21:01.124687Z	2022-02-07T07:21:01.124702Z	3.875
finally potong jugak gelangnya https://t.co/C9okV5FA63	66726	Positive	29	1785	2022-01-23T13:49:45.445461Z	2022-01-24T13:32:50.210673Z	39.081
Agak agak sambung lagi ke pkp ni ?	66669	Positive	29	1728	2022-01-23T13:46:41.945221Z	2022-01-23T13:46:44.621894Z	512.875
@nikamily @Urra901109 Ko pancitkan keter dia. Apsal ko xtegur? Senior mana tagcall da lol. Ke pukik?	66575	Negative	29	1634	2022-01-23T13:39:16.489787Z	2022-01-23T13:39:25.992976Z	74.267
Pande tetak indah ku maca tak duak menyuweet bepantun dalam comment. Tak duak sikda ws kah? Mun sikda ws pake ws aku lok. Kedong ku sik make	66555	Negative	29	1613	2022-01-23T13:35:09.304777Z	2022-01-23T13:35:12.444797Z	845.374
@malu2funky sik tak obrak abrik kedamaiane @EnjoyTheFilm	66356	Neutral	17	1379	2022-01-22T13:40:02.195143Z	2022-01-22T13:40:11.943637Z	3214.338
NEW VD 2021 ABANG KULI BATU BATA JOIN FULL VD, 50K 18 GRUB: KOLEKSI RIAN GVID LOKAL VIP PRANK STR8 PUNYAHOBBY DAD&amp;BEAR ASIAN VIP BEEFCAKE HUNTER VIDEO VIP DAN PREMIUM LAINNYA ORDER KLIK https://t.co/HstFd0wiYs CEK KATALOG @masterlokal https://t.co/pnxYfUKG8T	66330	Neutral	17	1353	2022-01-22T13:38:19.379198Z	2022-01-22T13:38:23.975470Z	3106.359
Mantabb (@ Nasi Lemak Ujong Pasir in Malacca, Melaka) https://t.co/pxkzMrwGXp https://t.co/wWpZrqXDwr	66293	Positive	17	1316	2022-01-22T13:35:53.507326Z	2022-01-22T13:35:57.146068Z	2959.553
@Sataanize biasa nic di subang	80184	Neutral	17	1432	2022-01-23T09:05:31.021378Z	2022-01-23T09:05:31.021395Z	6.983
KJRI Jeddah Ungkap Alasan Arab Saudi Belum Umumkan Keputusan Soal Haji https://t.co/OOzj8BBFAd Dana Haji Aman #StopHoaxDanaHaji	80183	Positive	17	1433	2022-01-23T09:05:40.173874Z	2022-01-23T09:05:40.173888Z	4.851
Petrol 100 Diesel 90 Food Oil 200 LPG 900 Amugu Dumugu Amal Dumal #ModiVsYogi https://t.co/jHaB5pvO9a	80182	Neutral	17	1434	2022-01-23T09:06:07.783274Z	2022-01-23T09:06:07.783286Z	6.019
